prov,total,week
Alberta,902,14-03-2021
British Columbia,667,14-03-2021
Manitoba,12,14-03-2021
New Brunswick,6,14-03-2021
Newfoundland and Labrador,88,14-03-2021
Northwest Territories,0,14-03-2021
Nova Scotia,11,14-03-2021
Nunavut,0,14-03-2021
Ontario,1036,14-03-2021
Prince Edward Island,4,14-03-2021
Quebec,241,14-03-2021
Saskatchewan,64,14-03-2021
Yukon,0,14-03-2021
Canada,3031,14-03-2021
Alberta,1581,21-03-2021
British Columbia,1094,21-03-2021
Manitoba,63,21-03-2021
New Brunswick,6,21-03-2021
Newfoundland and Labrador,178,21-03-2021
Northwest Territories,0,21-03-2021
Nova Scotia,13,21-03-2021
Nunavut,0,21-03-2021
Ontario,1287,21-03-2021
Prince Edward Island,4,21-03-2021
Quebec,432,21-03-2021
Saskatchewan,149,21-03-2021
Yukon,0,21-03-2021
Canada,4807,21-03-2021
Alberta,3043,28-03-2021
British Columbia,1666,28-03-2021
Manitoba,109,28-03-2021
New Brunswick,6,28-03-2021
Newfoundland and Labrador,178,28-03-2021
Northwest Territories,0,28-03-2021
Nova Scotia,13,28-03-2021
Nunavut,0,28-03-2021
Ontario,1625,28-03-2021
Prince Edward Island,4,28-03-2021
Quebec,595,28-03-2021
Saskatchewan,486,28-03-2021
Yukon,0,28-03-2021
Canada,7725,28-03-2021
Alberta,6273,05-04-2021
British Columbia,2771,05-04-2021
Manitoba,235,05-04-2021
New Brunswick,28,05-04-2021
Newfoundland and Labrador,178,05-04-2021
Northwest Territories,1,05-04-2021
Nova Scotia,18,05-04-2021
Nunavut,0,05-04-2021
Ontario,2135,05-04-2021
Prince Edward Island,4,05-04-2021
Quebec,1424,05-04-2021
Saskatchewan,943,05-04-2021
Yukon,0,05-04-2021
Canada,14010,05-04-2021
Alberta,10641,12-04-2021
British Columbia,3082,12-04-2021
Manitoba,364,12-04-2021
New Brunswick,28,12-04-2021
Newfoundland and Labrador,178,12-04-2021
Northwest Territories,1,12-04-2021
Nova Scotia,23,12-04-2021
Nunavut,0,12-04-2021
Ontario,14387,12-04-2021
Prince Edward Island,6,12-04-2021
Quebec,1430,12-04-2021
Saskatchewan,1426,12-04-2021
Yukon,1,12-04-2021
Canada,31567,12-04-2021
Alberta,16428,19-04-2021
British Columbia,3858,19-04-2021
Manitoba,621,19-04-2021
New Brunswick,180,19-04-2021
Newfoundland and Labrador,178,19-04-2021
Northwest Territories,1,19-04-2021
Nova Scotia,63,19-04-2021
Nunavut,0,19-04-2021
Ontario,34112,19-04-2021
Prince Edward Island,6,19-04-2021
Quebec,2554,19-04-2021
Saskatchewan,1909,19-04-2021
Yukon,1,19-04-2021
Canada,59911,19-04-2021
Alberta,23729,26-04-2021
British Columbia,4041,26-04-2021
Manitoba,858,26-04-2021
New Brunswick,180,26-04-2021
Newfoundland and Labrador,178,26-04-2021
Northwest Territories,1,26-04-2021
Nova Scotia,73,26-04-2021
Nunavut,0,26-04-2021
Ontario,52398,26-04-2021
Prince Edward Island,10,26-04-2021
Quebec,3331,26-04-2021
Saskatchewan,2138,26-04-2021
Yukon,1,26-04-2021
Canada,86938,26-04-2021
Alberta,31541,03-05-2021
British Columbia,4039,03-05-2021
Manitoba,1441,03-05-2021
New Brunswick,180,03-05-2021
Newfoundland and Labrador,187,03-05-2021
Northwest Territories,6,03-05-2021
Nova Scotia,73,03-05-2021
Nunavut,21,03-05-2021
Ontario,72313,03-05-2021
Prince Edward Island,13,03-05-2021
Quebec,3709,03-05-2021
Saskatchewan,2491,03-05-2021
Yukon,1,03-05-2021
Canada,116015,03-05-2021
Alberta,31541,10-05-2021
British Columbia,4039,10-05-2021
Manitoba,1441,10-05-2021
New Brunswick,180,10-05-2021
Newfoundland and Labrador,187,10-05-2021
Northwest Territories,6,10-05-2021
Nova Scotia,73,10-05-2021
Nunavut,21,10-05-2021
Ontario,72313,10-05-2021
Prince Edward Island,13,10-05-2021
Quebec,3709,10-05-2021
Saskatchewan,2491,10-05-2021
Yukon,1,10-05-2021
Canada,116015,10-05-2021
Alberta,38720,17-05-2021
British Columbia,6348,17-05-2021
Manitoba,3058,17-05-2021
New Brunswick,180,17-05-2021
Newfoundland and Labrador,187,17-05-2021
Northwest Territories,26,17-05-2021
Nova Scotia,73,17-05-2021
Nunavut,21,17-05-2021
Ontario,107541,17-05-2021
Prince Edward Island,15,17-05-2021
Quebec,5237,17-05-2021
Saskatchewan,4341,17-05-2021
Yukon,2,17-05-2021
Canada,165749,17-05-2021
Alberta,40729,24-05-2021
British Columbia,7289,24-05-2021
Manitoba,3944,24-05-2021
New Brunswick,180,24-05-2021
Newfoundland and Labrador,187,24-05-2021
Northwest Territories,26,24-05-2021
Nova Scotia,73,24-05-2021
Nunavut,21,24-05-2021
Ontario,117941,24-05-2021
Prince Edward Island,19,24-05-2021
Quebec,5749,24-05-2021
Saskatchewan,5273,24-05-2021
Yukon,2,24-05-2021
Canada,181433,24-05-2021
Alberta,42311,31-05-2021
British Columbia,8015,31-05-2021
Manitoba,4651,31-05-2021
New Brunswick,180,31-05-2021
Newfoundland and Labrador,187,31-05-2021
Northwest Territories,26,31-05-2021
Nova Scotia,73,31-05-2021
Nunavut,21,31-05-2021
Ontario,125035,31-05-2021
Prince Edward Island,19,31-05-2021
Quebec,6420,31-05-2021
Saskatchewan,5529,31-05-2021
Yukon,2,31-05-2021
Canada,192469,31-05-2021
Alberta,43943,07-06-2021
British Columbia,9292,07-06-2021
Manitoba,5207,07-06-2021
New Brunswick,180,07-06-2021
Newfoundland and Labrador,187,07-06-2021
Northwest Territories,26,07-06-2021
Nova Scotia,73,07-06-2021
Nunavut,21,07-06-2021
Ontario,131991,07-06-2021
Prince Edward Island,26,07-06-2021
Quebec,6621,07-06-2021
Saskatchewan,5753,07-06-2021
Yukon,2,07-06-2021
Canada,203322,07-06-2021
Alberta,44776,14-06-2021
British Columbia,10118,14-06-2021
Manitoba,5848,14-06-2021
New Brunswick,180,14-06-2021
Newfoundland and Labrador,187,14-06-2021
Northwest Territories,77,14-06-2021
Nova Scotia,73,14-06-2021
Nunavut,21,14-06-2021
Ontario,139482,14-06-2021
Prince Edward Island,26,14-06-2021
Quebec,6789,14-06-2021
Saskatchewan,5932,14-06-2021
Yukon,2,14-06-2021
Canada,213511,14-06-2021
Alberta,45268,21-06-2021
British Columbia,11144,21-06-2021
Manitoba,6302,21-06-2021
New Brunswick,180,21-06-2021
Newfoundland and Labrador,187,21-06-2021
Northwest Territories,77,21-06-2021
Nova Scotia,73,21-06-2021
Nunavut,21,21-06-2021
Ontario,142113,21-06-2021
Prince Edward Island,26,21-06-2021
Quebec,6833,21-06-2021
Saskatchewan,6417,21-06-2021
Yukon,2,21-06-2021
Canada,218643,21-06-2021
Alberta,45388,28-06-2021
British Columbia,12054,28-06-2021
Manitoba,6540,28-06-2021
New Brunswick,180,28-06-2021
Newfoundland and Labrador,187,28-06-2021
Northwest Territories,77,28-06-2021
Nova Scotia,73,28-06-2021
Nunavut,21,28-06-2021
Ontario,143267,28-06-2021
Prince Edward Island,26,28-06-2021
Quebec,6927,28-06-2021
Saskatchewan,6615,28-06-2021
Yukon,2,28-06-2021
Canada,221357,28-06-2021
